id,name,surname,registration_date,age,education
310,Enrico,Bevilacqua,2018-01-31,29,Bachelor's Degree
311,Livia,Vecellio,2023-03-31,22,Primary School
312,Simone,Gozzi,2020-12-16,20,Primary School
313,Nedda,Napolitano,2018-10-17,29,Secondary School
314,Romolo,Dossetti,2018-04-26,30,Primary School
315,Barbara,Taliani,2021-01-15,49,Bachelor's Degree
316,Micheletto,Monteverdi,2023-07-28,60,High School
317,Ruggiero,Taliercio,2018-04-27,18,Bachelor's Degree
318,Iolanda,Mengolo,2022-08-27,48,High School
319,Ignazio,Pagnotto,2022-01-20,57,Bachelor's Degree
320,Adelmo,Verdi,2022-03-20,38,Bachelor's Degree
321,Monica,Barzini,2020-05-25,47,Primary School
322,Concetta,Pisaroni,2023-10-26,30,Secondary School
323,Lazzaro,Mercadante,2019-12-29,59,Secondary School
324,Tiziana,Guarato,2022-07-27,22,High School
325,Amleto,Pavanello,2019-07-31,42,Bachelor's Degree
326,Pierpaolo,Gabbana,2021-11-21,27,Master's Degree
327,Calogero,Roccabonella,2023-02-05,34,Primary School
328,Giosuè,Petralli,2018-05-21,35,Secondary School
329,Eugenia,Fabrizi,2020-11-19,36,Ph.D.
330,Oreste,Zamorani,2018-05-02,33,Primary School
331,Ninetta,Rizzoli,2022-06-02,48,Primary School
332,Guglielmo,Belletini,2021-09-15,40,High School
333,Silvestro,Perini,2021-03-02,38,Primary School
334,Daria,Luria,2017-12-03,19,Ph.D.
335,Imelda,Giannelli,2020-11-28,47,Bachelor's Degree
336,Michela,Comboni,2020-10-13,27,Primary School
337,Annamaria,Ossola,2021-01-08,60,High School
338,Zaira,Venditti,2020-09-20,36,Bachelor's Degree
339,Pomponio,Vitturi,2021-09-20,33,Ph.D.
340,Greca,Pelli,2018-04-16,28,Primary School
341,Nicolò,Ferrata,2022-12-30,30,Ph.D.
342,Alfredo,Sforza,2023-05-31,19,Master's Degree
343,Renzo,Esposito,2018-09-06,32,Ph.D.
344,Ermenegildo,Lussu,2023-03-20,23,Master's Degree
345,Ippazio,Bixio,2019-10-14,43,Ph.D.
346,Ludovico,Guarneri,2021-06-28,41,Ph.D.
347,Flora,Burcardo,2022-03-04,37,Secondary School
348,Gioacchino,Bova,2018-03-14,47,High School
349,Etta,Cheda,2022-03-04,36,Primary School
350,Simonetta,Baresi,2020-12-18,47,Secondary School
351,Donato,Bosio,2022-09-03,33,Secondary School
352,Priscilla,Abatantuono,2023-08-12,31,Primary School
353,Amleto,Ferraris,2020-02-29,59,Master's Degree
354,Nadia,Veltroni,2021-08-20,45,Ph.D.
355,Pier,Soranzo,2022-07-20,35,Primary School
356,Letizia,Torricelli,2023-04-27,47,Primary School
357,Nedda,Battelli,2023-02-10,46,Ph.D.
358,Riccardo,Filangieri,2018-06-27,44,Secondary School
359,Federigo,Marconi,2020-01-18,20,Primary School
360,Imelda,Serao,2018-11-12,53,Master's Degree
361,Michele,Trombetta,2022-12-08,54,High School
362,Benvenuto,Turati,2019-01-11,24,Ph.D.
363,Arsenio,Sorrentino,2019-03-03,22,Secondary School
364,Piero,Cignaroli,2020-02-05,49,Primary School
365,Lina,Beccaria,2021-07-28,48,Primary School
366,Michelotto,Vianello,2020-05-18,33,Ph.D.
367,Emilio,Fo,2018-05-04,21,Bachelor's Degree
368,Sante,Morpurgo,2018-12-12,43,Primary School
369,Ivan,Badoglio,2023-01-03,21,High School
370,Mariana,Asprucci,2020-08-01,44,Bachelor's Degree
371,Camillo,Rensi,2019-06-17,37,Ph.D.
372,Eraldo,Moretti,2023-06-23,21,Primary School
373,Marcello,Lovato,2017-11-08,30,Secondary School
374,Donatella,Travaglia,2022-10-18,50,Ph.D.
375,Gianpaolo,Zaguri,2018-10-10,43,Secondary School
376,Delfino,Gabba,2021-04-22,52,Secondary School
377,Romolo,Pacelli,2018-10-16,23,High School
378,Arnaldo,Renault,2023-06-04,24,Primary School
379,Rosalia,Maderna,2018-05-26,52,Secondary School
380,Patrizio,Guglielmi,2022-04-04,56,Primary School
381,Ferdinando,Borghese,2021-05-22,31,Master's Degree
382,Sergius,Nitti,2021-07-21,19,Bachelor's Degree
383,Piermaria,Marconi,2018-02-28,52,High School
384,Luciana,Gentileschi,2019-08-22,49,Bachelor's Degree
385,Caterina,Canevascini,2021-01-13,54,Bachelor's Degree
386,Ludovica,Proietti,2018-01-22,51,Ph.D.
387,Stefania,Pizzamano,2022-11-16,26,Ph.D.
388,Martino,Sollima,2018-10-15,18,High School
389,Adriano,Baresi,2021-11-20,46,Secondary School
390,Rosa,Palumbo,2019-09-26,53,Primary School
391,Leone,Emo,2023-01-11,26,High School
392,Natalia,Dossi,2023-01-02,48,Primary School
393,Allegra,Niscoromni,2019-12-14,34,Bachelor's Degree
394,Luigi,Sanudo,2019-02-02,38,Secondary School
395,Emilio,Trincavelli,2018-08-28,26,Master's Degree
396,Graziella,Deledda,2018-01-15,23,Bachelor's Degree
397,Jolanda,Giunti,2019-09-13,33,Ph.D.
398,Fernanda,Tolentino,2019-07-07,23,Bachelor's Degree
399,Adriana,Micheletti,2021-11-17,54,Ph.D.
400,Ottone,Zamorani,2023-09-26,33,High School
401,Federica,Iacobucci,2021-02-11,21,Bachelor's Degree
402,Camilla,Priuli,2019-06-01,33,Primary School
403,Francesco,Collina,2022-03-19,30,High School
404,Alfredo,Poerio,2021-09-25,41,Primary School
405,Calogero,Canevascini,2017-12-04,22,Bachelor's Degree
406,Rosaria,Greco,2019-10-15,38,Bachelor's Degree
407,Piergiuseppe,Peano,2019-04-03,53,Primary School
408,Patrizia,Sbarbaro,2021-01-06,36,Ph.D.
409,Gianluigi,Agnesi,2023-07-26,26,Master's Degree
410,Rosa,Riccati,2023-03-04,19,Bachelor's Degree
411,Loredana,Letta,2023-02-25,27,Ph.D.
412,Atenulf,Togliatti,2018-12-31,59,Primary School
413,Liliana,Bonino,2022-09-11,21,Ph.D.
414,Guido,Finotto,2022-03-02,45,High School
415,Giorgia,Barsanti,2018-05-20,24,Bachelor's Degree
416,Massimo,Fattori,2019-12-25,53,Secondary School
417,Milena,Tasso,2020-02-10,38,Primary School
418,Aria,Rubbia,2020-04-20,37,Secondary School
419,Enrico,Balotelli,2020-06-22,26,High School
420,Adriana,Mondadori,2022-08-14,49,Ph.D.
421,Giovanna,Aldobrandi,2020-07-01,38,High School
422,Dino,Natta,2022-07-04,20,Primary School
423,Carolina,Magnani,2021-08-19,52,Ph.D.
424,Simone,Garobbio,2021-01-02,53,Primary School
425,Alina,Einaudi,2022-08-30,19,Primary School
426,Agostino,Praga,2022-01-16,21,Secondary School
427,Paola,Benussi,2022-02-07,40,Bachelor's Degree
428,Diana,Cagnotto,2021-04-25,34,Master's Degree
429,Eraldo,Polesel,2019-07-08,19,Secondary School
430,Vincenzo,Petrucelli,2022-09-25,51,Bachelor's Degree
431,Federico,Beccaria,2017-11-29,26,High School
432,Saverio,Tiepolo,2023-06-02,30,High School
433,Ubaldo,Federici,2019-03-02,40,Primary School
434,Monica,Tarantini,2022-12-05,28,Master's Degree
435,Maura,Sorrentino,2021-11-21,57,Secondary School
436,Evangelista,Castelli,2022-10-16,24,High School
437,Filippa,Guariento,2020-05-16,51,Master's Degree
438,Greca,Visconti,2023-08-07,28,Ph.D.
439,Annetta,Iacobucci,2019-08-22,27,Bachelor's Degree
440,Dolores,Chechi,2023-03-14,45,Bachelor's Degree
441,Gelsomina,Camuccini,2017-11-11,25,High School
442,Imelda,Mocenigo,2021-06-21,38,Bachelor's Degree
443,Francesco,Barcaccia,2021-03-04,32,Bachelor's Degree
444,Giuliano,Doria,2021-09-09,56,Bachelor's Degree
445,Stefania,Leopardi,2020-11-29,28,Bachelor's Degree
446,Gloria,Mazzi,2017-11-10,21,Ph.D.
447,Biagio,Foà,2021-03-04,28,Master's Degree
448,Danilo,Pinamonte,2020-03-27,48,Bachelor's Degree
449,Gianmarco,Nitti,2022-05-28,56,Primary School
450,Adriano,Murialdo,2019-12-02,24,Secondary School
451,Maura,Comeriato,2019-03-22,44,Ph.D.
452,Bartolomeo,Sraffa,2020-09-26,21,Secondary School
453,Annunziata,Muratori,2021-01-23,18,Primary School
454,Armando,Sorrentino,2019-09-23,54,Secondary School
455,Adriana,Canova,2020-11-29,48,Ph.D.
456,Lorenzo,Gianetti,2019-06-10,40,Bachelor's Degree
457,Giorgio,Guidotti,2017-12-27,47,Secondary School
458,Durante,Vendetti,2022-09-06,30,High School
459,Baldassare,Bresciani,2018-07-20,30,High School
460,Giovanni,Fittipaldi,2018-12-19,53,Master's Degree
461,Alessandro,Ossani,2018-10-19,40,Secondary School
462,Fernanda,Scaduto,2021-03-22,41,High School
463,Francesca,Cutrufo,2017-12-18,33,Ph.D.
464,Griselda,Camuccini,2019-09-08,21,Master's Degree
465,Lorenzo,Carli,2019-04-26,49,Bachelor's Degree
466,Anita,Spadafora,2019-04-19,40,Secondary School
467,Lauretta,Galtarossa,2021-08-11,27,Secondary School
468,Rosina,Terragni,2021-12-05,49,Bachelor's Degree
469,Sante,Taliercio,2020-02-18,20,Primary School
470,Carmelo,Disdero,2022-09-11,28,Bachelor's Degree
471,Giacobbe,Ottino,2022-12-04,24,Ph.D.
472,Monica,Coppola,2022-05-13,36,Secondary School
473,Pierpaolo,Morucci,2018-07-16,38,Bachelor's Degree
474,Cirillo,Mazzacurati,2023-09-25,48,Master's Degree
475,Carmelo,Tencalla,2021-08-20,57,Primary School
476,Mariano,Musatti,2021-07-19,30,Bachelor's Degree
477,Tiziana,Moccia,2021-10-17,18,Primary School
478,Nina,Foa,2019-08-05,50,Master's Degree
479,Raimondo,Murialdo,2020-05-16,55,Master's Degree
480,Maria,Doglioni,2020-05-02,29,Bachelor's Degree
481,Caterina,Dellucci,2018-01-29,19,High School
482,Ansaldo,Solari,2020-09-24,19,Master's Degree
483,Pellegrino,Baglioni,2022-10-16,37,Master's Degree
484,Vittoria,Magnani,2020-09-19,42,Master's Degree
485,Marissa,Gualandi,2023-04-11,48,Master's Degree
486,Ranieri,Juvara,2020-01-20,43,Bachelor's Degree
487,Rolando,Zaccagnini,2018-02-20,55,Ph.D.
488,Giuseppe,Vergassola,2020-06-22,53,Ph.D.
489,Gian,Fibonacci,2019-04-03,21,Master's Degree
